codice,titolo,dataInizio,dataFine,creatore
55,Storia della Filosofia,2025-07-06,2026-11-30,simone_fabbri
56,Epistemologia,2027-05-02,2027-06-08,simone_fabbri
57,Etica e Morale,2025-09-28,2027-02-03,giada_lodi
58,Teologia Comparata,2025-12-03,2026-04-18,giada_lodi
59,Archeologia Classica,2026-02-21,2026-06-15,giada_lodi
60,Numismatica,2027-05-20,2027-09-21,davide_grassi
61,Filologia Romanza,2025-02-15,2025-04-08,davide_grassi
62,Storia dell'Impero Romano,2024-06-15,2024-08-30,stefano_silvestri
63,La Grande Guerra,2027-04-28,2027-07-12,pietro_amato
64,Storia della Seconda Guerra Mondiale,2026-02-22,2026-08-12,pietro_amato
65,Geopolitica Contemporanea,2024-06-11,2024-11-21,paola_rizzi
66,Relazioni Internazionali,2025-07-04,2025-07-18,paola_rizzi
67,Storia dell'Asia,2026-01-12,2026-09-30,ilaria_riva
68,Cultura Africana,2025-12-28,2026-11-08,ilaria_riva
69,Musica Jazz,2025-08-26,2027-06-23,ilaria_riva
70,Opera Lirica Italiana,2027-04-09,2027-04-18,ilaria_riva
71,Storia del Rock,2025-12-01,2027-03-06,giorgio_martinelli
72,Pittura Impressionista,2026-02-24,2027-06-17,diego_gentile
73,Scultura Classica,2025-06-28,2027-03-07,diego_gentile
74,Architettura Moderna,2025-12-02,2027-06-18,irene_salvi
75,Design Industriale,2025-07-23,2027-04-22,irene_salvi
76,Fotografia,2025-09-17,2027-03-27,elena_riva
77,Storia del Cinema,2025-09-19,2026-12-15,elena_riva
78,Letteratura Latino-Americana,2026-03-01,2026-08-29,riccardo_silvestri
79,Poesia del '900,2025-07-02,2025-08-08,diego_mele
80,Il Romanzo Moderno,2024-05-28,2024-07-21,diego_mele
81,Narrativa Contemporanea,2025-10-23,2026-11-17,diego_mele
82,Graphic Novel,2026-02-03,2026-08-19,giovanni_galli
83,Fumetto Italiano,2026-01-24,2026-07-06,laura_guerra
84,Videogame e Cultura Pop,2025-12-03,2026-02-18,laura_guerra
85,Gastronomia Internazionale,2026-05-31,2027-04-08,laura_guerra
86,Storia del Vino,2026-04-24,2027-05-21,serena_quaranta
87,Enologia Italiana,2027-04-18,2027-07-06,giorgio_longo
88,Barista e Caffetteria,2025-11-14,2026-12-20,giorgio_longo
89,Sommelier Base,2026-06-01,2026-11-05,giorgio_longo
90,Sport Invernali,2027-02-28,2027-04-05,katia_de_luca
91,Sport Nautici,2025-08-09,2027-06-15,tomaso_poli
92,Atletica Leggera,2026-04-12,2027-04-13,tomaso_poli
93,Storia del Calcio,2026-08-11,2026-10-20,tomaso_poli
94,Regole del Basketball,2025-11-26,2027-05-05,anna_vitale
95,Tennis e Grand Slam,2025-02-01,2025-06-03,miriam_celli
96,Formula 1 e Motorsport,2025-11-20,2026-12-02,roberta_sanna
97,Moto GP,2026-05-28,2027-05-07,roberta_sanna
98,Ciclismo e Tour de France,2026-08-18,2026-10-17,roberta_sanna
99,Scacchi,2025-04-07,2025-09-30,jessica_biffi
100,Bridge e Giochi di Carte,2026-04-08,2026-06-30,davide_de_rosa
101,Poker Teorico,2025-07-10,2027-04-29,davide_de_rosa
102,Danza Classica,2026-06-11,2026-10-25,davide_de_rosa
103,Teatro e Drammaturgia,2026-02-03,2027-06-23,ernesto_pozzi
104,Circo e Arti Performative,2026-08-04,2026-10-09,ernesto_pozzi
105,Storia dell'Antica Grecia- Livello Base,2027-05-15,2027-10-19,ernesto_pozzi
106,Chimica Organica Base- Livello Base,2025-08-16,2025-09-28,monica_celli
107,Fisica Newtoniana- Livello Base,2026-04-04,2026-12-03,monica_celli
108,Letteratura del '900- Livello Base,2025-09-09,2026-11-23,monica_celli
109,Matematica Finanziaria- Livello Base,2025-12-03,2026-11-15,laura_rinaldi
110,Biologia Cellulare- Livello Base,2025-10-18,2027-02-08,laura_rinaldi
111,Geografia Europea- Livello Base,2026-06-07,2027-02-05,laura_rinaldi
112,Astronomia e Cosmologia- Livello Base,2026-03-02,2027-06-09,federica_pino
113,Lingue Neolatine- Livello Base,2027-04-19,2027-09-23,federica_pino
114,Arte Medievale- Livello Base,2025-04-24,2025-09-25,serena_caputo
115,Cinema d'Autore- Livello Base,2026-03-30,2027-02-24,serena_caputo
116,Cucina Regionale Italiana- Livello Base,2025-11-13,2026-11-18,serena_caputo
117,Informatica di Base- Livello Base,2025-09-01,2027-02-07,serena_caputo
118,Diritto Costituzionale- Livello Base,2025-01-10,2025-02-09,serena_caputo
119,Economia Aziendale- Livello Base,2026-05-05,2026-09-19,anna_pino
120,Storia della Musica- Livello Base,2025-07-07,2027-03-09,anna_pino
121,Filosofia Greca- Livello Base,2027-04-06,2027-04-22,debora_sorrentino
122,Anatomia Umana- Livello Base,2026-01-17,2026-11-05,emanuele_donati
123,Ecologia e Ambiente- Livello Base,2025-12-03,2027-03-19,emanuele_donati
124,Sport e Olimpiadi- Livello Base,2026-06-29,2026-12-21,emanuele_donati
125,Psicologia Cognitiva- Livello Base,2027-02-20,2027-06-12,emanuele_donati
126,Sociologia Urbana- Livello Base,2025-10-05,2026-12-31,emanuele_donati
127,Storia del Rinascimento- Livello Base,2026-06-01,2026-10-11,miriam_orlando
128,Letteratura Inglese- Livello Base,2026-04-21,2026-11-23,emanuele_ferrara
129,Matematica Discreta- Livello Base,2025-08-09,2027-05-06,claudia_pino
130,Reti di Computer- Livello Base,2024-05-15,2024-07-01,claudia_pino
131,Algoritmi e Strutture Dati- Livello Base,2026-06-20,2027-04-07,claudia_pino
132,Marketing Digitale- Livello Base,2026-08-26,2026-12-29,matteo_silvestri
133,Gestione Aziendale- Livello Base,2027-05-26,2027-07-11,roberta_fazio
134,Storia dell'Arte Moderna- Livello Base,2026-01-29,2027-03-16,roberta_fazio
135,Fisica Quantistica- Livello Base,2024-12-19,2025-04-28,roberta_fazio
136,Chimica Inorganica- Livello Base,2025-12-13,2026-10-04,lorenzo_parisi
137,Biologia Marina- Livello Base,2027-03-16,2027-04-26,lorenzo_parisi
138,Geologia e Vulcani- Livello Base,2026-11-17,2027-03-10,lorenzo_parisi
139,Meteorologia- Livello Base,2025-10-11,2026-11-12,claudia_de_luca
140,Linguistica Italiana- Livello Base,2026-11-20,2027-02-11,claudia_de_luca
141,Numeri e Crittografia- Livello Base,2025-09-27,2026-01-26,riccardo_quaranta
142,Mitologia Greca e Romana- Livello Base,2026-01-02,2026-12-16,riccardo_quaranta
143,Storia Medievale- Livello Base,2025-09-22,2027-01-08,riccardo_quaranta
144,Cultura Asiatica- Livello Base,2025-07-05,2026-10-29,lisa_sorrentino
145,Letteratura Russa- Livello Base,2026-02-28,2027-01-25,tomaso_quaranta
146,Economia Globale- Livello Base,2025-10-28,2027-06-25,tomaso_quaranta
147,Zoologia- Livello Base,2027-05-28,2027-07-12,lisa_salvi
148,Botanica- Livello Base,2026-06-09,2026-09-01,lisa_salvi
149,Farmacologia Base- Livello Base,2025-08-29,2026-12-15,lisa_salvi
150,Diritto Internazionale- Livello Base,2027-02-09,2027-03-13,maria_milani
151,Storia della Tecnologia- Livello Base,2024-11-11,2025-05-04,simone_tozzi
152,Robotica- Livello Base,2026-08-06,2026-12-11,simone_tozzi
153,Intelligenza Artificiale- Livello Base,2024-11-24,2025-05-16,alessia_galli
154,Machine Learning Base- Livello Base,2026-01-10,2027-06-09,alessia_galli
155,Statistica Applicata- Livello Base,2027-01-09,2027-04-07,diego_cattaneo
156,Calcolo Integrale- Livello Base,2025-05-15,2025-10-30,serena_biffi
157,Topologia- Livello Base,2025-07-03,2025-09-06,serena_biffi
158,Teoria dei Giochi- Livello Base,2025-08-07,2027-06-24,anna_fusco
159,Storia della Filosofia- Livello Base,2027-02-11,2027-04-01,anna_fusco
160,Epistemologia- Livello Base,2026-05-30,2026-11-26,roberto_montagna
161,Etica e Morale- Livello Base,2025-11-29,2027-04-14,giada_casini
162,Teologia Comparata- Livello Base,2025-11-05,2025-12-25,giada_napoli
163,Archeologia Classica- Livello Base,2025-08-19,2027-01-10,giada_napoli
164,Numismatica- Livello Base,2025-06-12,2025-10-24,giada_napoli
165,Filologia Romanza- Livello Base,2026-02-17,2027-02-19,diego_pino
166,Storia dell'Impero Romano- Livello Base,2026-06-23,2027-02-22,diego_pino
167,La Grande Guerra- Livello Base,2027-06-10,2027-11-03,diego_pino
168,Storia della Seconda Guerra Mondiale- Livello Base,2025-11-13,2026-12-22,ernesto_mele
169,Geopolitica Contemporanea- Livello Base,2026-11-29,2027-05-18,ernesto_mele
170,Relazioni Internazionali- Livello Base,2026-01-24,2026-10-08,francesco_pozzi
171,Storia dell'Asia- Livello Base,2027-03-03,2027-04-06,francesco_pozzi
172,Cultura Africana- Livello Base,2025-09-08,2026-12-29,francesco_pozzi
173,Musica Jazz- Livello Base,2025-07-04,2026-11-27,francesco_pozzi
174,Opera Lirica Italiana- Livello Base,2025-07-25,2027-01-17,martina_gentile
175,Storia del Rock- Livello Base,2025-11-27,2026-05-08,monica_martinelli
176,Pittura Impressionista- Livello Base,2025-07-04,2025-09-07,monica_martinelli
177,Scultura Classica- Livello Base,2025-04-30,2025-07-02,katia_quaranta
178,Architettura Moderna- Livello Base,2024-07-21,2024-09-30,katia_quaranta
179,Design Industriale- Livello Base,2024-07-10,2024-08-21,katia_quaranta
180,Fotografia- Livello Base,2024-04-04,2024-09-23,katia_quaranta
181,Storia del Cinema- Livello Base,2025-12-23,2026-09-04,alessio_alfano
182,Letteratura Latino-Americana- Livello Base,2026-01-27,2026-12-13,alessio_alfano
183,Poesia del '900- Livello Base,2025-11-02,2025-12-30,alessio_alfano
184,Il Romanzo Moderno- Livello Base,2025-09-24,2027-01-02,alessio_alfano
185,Narrativa Contemporanea- Livello Base,2026-02-08,2026-09-21,alessio_alfano
186,Graphic Novel- Livello Base,2025-10-24,2026-11-27,alessio_fabbri
187,Fumetto Italiano- Livello Base,2025-06-10,2025-07-16,alessio_fabbri
188,Videogame e Cultura Pop- Livello Base,2026-05-20,2026-09-09,alessio_fabbri
189,Gastronomia Internazionale- Livello Base,2024-04-20,2024-08-06,olga_monti
190,Storia del Vino- Livello Base,2027-04-10,2027-07-19,olga_monti
191,Enologia Italiana- Livello Base,2025-12-07,2026-07-06,miriam_rega
192,Barista e Caffetteria- Livello Base,2025-07-18,2026-11-10,serena_amato
193,Sommelier Base- Livello Base,2025-08-05,2027-01-05,serena_amato
194,Sport Invernali- Livello Base,2026-02-28,2027-02-25,riccardo_palma
195,Sport Nautici- Livello Base,2025-09-13,2026-12-13,riccardo_palma
196,Atletica Leggera- Livello Base,2026-10-20,2027-04-10,riccardo_palma
197,Storia del Calcio- Livello Base,2026-11-30,2027-05-22,diego_gentile2
198,Regole del Basketball- Livello Base,2026-04-17,2026-07-22,diego_gentile2
199,Tennis e Grand Slam- Livello Base,2026-12-01,2027-04-13,diego_gentile2
200,Formula 1 e Motorsport- Livello Base,2026-02-27,2027-03-31,diego_gentile2
201,Moto GP- Livello Base,2025-11-07,2027-01-04,diego_gentile2
202,Ciclismo e Tour de France- Livello Base,2024-02-20,2024-07-14,tomaso_palermo
203,Scacchi- Livello Base,2026-04-09,2027-01-27,tomaso_palermo
204,Bridge e Giochi di Carte- Livello Base,2024-08-31,2025-02-11,tomaso_palermo
205,Poker Teorico- Livello Base,2025-12-20,2026-10-18,alessia_marchetti
206,Danza Classica- Livello Base,2026-02-27,2026-12-31,alessia_marchetti
207,Teatro e Drammaturgia- Livello Base,2025-07-11,2027-01-03,alessia_marchetti
208,Circo e Arti Performative- Livello Base,2025-08-01,2026-12-29,alessia_marchetti
209,Storia dell'Antica Grecia- Livello Avanzato,2027-02-16,2027-03-18,francesco_celli
210,Chimica Organica Base- Livello Avanzato,2024-03-22,2024-09-08,francesco_celli
211,Fisica Newtoniana- Livello Avanzato,2026-06-17,2026-07-24,francesco_celli
212,Letteratura del '900- Livello Avanzato,2025-09-12,2025-10-21,silvia_angeli
213,Matematica Finanziaria- Livello Avanzato,2025-11-05,2025-11-29,silvia_angeli
214,Biologia Cellulare- Livello Avanzato,2026-02-28,2026-12-14,carmine_orlando
215,Geografia Europea- Livello Avanzato,2024-10-18,2024-10-25,carmine_orlando
216,Astronomia e Cosmologia- Livello Avanzato,2026-04-14,2026-09-03,carmine_orlando
217,Lingue Neolatine- Livello Avanzato,2026-06-14,2026-09-04,ivan_biffi
218,Arte Medievale- Livello Avanzato,2026-01-13,2026-07-07,diego_napoli
219,Cinema d'Autore- Livello Avanzato,2026-06-01,2026-09-01,diego_napoli
220,Cucina Regionale Italiana- Livello Avanzato,2024-11-30,2025-01-05,diego_napoli
221,Informatica di Base- Livello Avanzato,2024-10-27,2025-02-25,diego_napoli
222,Diritto Costituzionale- Livello Avanzato,2024-08-13,2025-01-18,diego_napoli
223,Economia Aziendale- Livello Avanzato,2025-10-13,2026-10-20,ernesto_conte
224,Storia della Musica- Livello Avanzato,2026-07-21,2027-01-12,ernesto_conte
225,Filosofia Greca- Livello Avanzato,2026-07-30,2026-12-06,pietro_caputo
226,Anatomia Umana- Livello Avanzato,2027-02-02,2027-03-08,pietro_caputo
227,Ecologia e Ambiente- Livello Avanzato,2026-05-17,2026-12-10,olga_salvi
228,Sport e Olimpiadi- Livello Avanzato,2026-03-13,2026-04-21,olga_salvi
229,Psicologia Cognitiva- Livello Avanzato,2026-01-12,2027-01-10,lorenzo_lodi
230,Sociologia Urbana- Livello Avanzato,2027-03-27,2027-06-17,lorenzo_lodi
231,Storia del Rinascimento- Livello Avanzato,2025-08-22,2027-02-04,diego_amato
232,Letteratura Inglese- Livello Avanzato,2025-07-03,2026-08-26,diego_amato
233,Matematica Discreta- Livello Avanzato,2027-05-28,2027-10-23,diego_amato
234,Reti di Computer- Livello Avanzato,2025-07-25,2025-11-19,diego_amato
235,Algoritmi e Strutture Dati- Livello Avanzato,2025-11-07,2027-01-19,jessica_angeli
236,Marketing Digitale- Livello Avanzato,2026-05-10,2026-12-06,claudia_palma
237,Gestione Aziendale- Livello Avanzato,2025-07-22,2026-11-06,claudia_palma
238,Storia dell'Arte Moderna- Livello Avanzato,2026-08-02,2026-09-01,ilaria_rinaldo
239,Fisica Quantistica- Livello Avanzato,2026-08-15,2026-12-10,ilaria_poli
240,Chimica Inorganica- Livello Avanzato,2025-12-19,2026-09-03,ilaria_poli
241,Biologia Marina- Livello Avanzato,2025-08-31,2027-04-12,ilaria_poli
242,Geologia e Vulcani- Livello Avanzato,2025-07-22,2027-01-31,matteo_mele
243,Meteorologia- Livello Avanzato,2027-05-02,2027-07-27,marco_bruni
244,Linguistica Italiana- Livello Avanzato,2025-09-05,2027-03-15,marco_bruni
245,Numeri e Crittografia- Livello Avanzato,2025-07-26,2027-03-02,marco_bruni
246,Mitologia Greca e Romana- Livello Avanzato,2026-05-03,2026-12-25,marco_bruni
247,Storia Medievale- Livello Avanzato,2024-09-14,2024-11-17,luca_sala
248,Cultura Asiatica- Livello Avanzato,2027-04-12,2027-09-25,luca_sala
249,Letteratura Russa- Livello Avanzato,2024-04-11,2024-09-07,luca_sala
250,Economia Globale- Livello Avanzato,2025-07-26,2027-06-19,jessica_orlando
251,Zoologia- Livello Avanzato,2025-05-14,2025-08-15,emanuele_biffi
252,Botanica- Livello Avanzato,2026-03-27,2026-09-10,emanuele_biffi
253,Farmacologia Base- Livello Avanzato,2025-12-04,2026-08-03,davide_guida
254,Diritto Internazionale- Livello Avanzato,2025-08-07,2026-07-14,davide_guida
255,Storia della Tecnologia- Livello Avanzato,2025-09-29,2026-10-17,davide_guida
256,Robotica- Livello Avanzato,2026-01-19,2026-12-12,matteo_tozzi
257,Intelligenza Artificiale- Livello Avanzato,2024-06-17,2024-11-23,carmine_riva
258,Machine Learning Base- Livello Avanzato,2026-06-01,2026-09-16,carmine_riva
259,Statistica Applicata- Livello Avanzato,2025-08-15,2026-07-24,carmine_riva
260,Calcolo Integrale- Livello Avanzato,2024-09-06,2025-02-15,federica_carbone
261,Topologia- Livello Avanzato,2026-02-08,2026-10-17,lorenzo_lodi2
262,Teoria dei Giochi- Livello Avanzato,2026-02-02,2027-06-11,simone_de_marco2
263,Storia della Filosofia- Livello Avanzato,2024-09-26,2025-02-14,simone_de_marco2
264,Epistemologia- Livello Avanzato,2026-03-10,2026-05-12,carmine_de_marco
265,Etica e Morale- Livello Avanzato,2026-01-24,2026-10-15,fabio_ferretti
266,Teologia Comparata- Livello Avanzato,2025-07-20,2025-10-09,fabio_ferretti
267,Archeologia Classica- Livello Avanzato,2026-06-24,2027-03-10,fabio_ferretti
268,Numismatica- Livello Avanzato,2025-07-02,2026-10-24,giovanni_colombi
269,Filologia Romanza- Livello Avanzato,2025-07-20,2026-12-27,giovanni_colombi
270,Storia dell'Impero Romano- Livello Avanzato,2026-06-06,2027-02-07,laura_salvi
271,La Grande Guerra- Livello Avanzato,2027-04-19,2027-08-13,paola_damico
272,Storia della Seconda Guerra Mondiale- Livello Avanzato,2025-06-29,2027-05-22,paola_damico
273,Geopolitica Contemporanea- Livello Avanzato,2026-04-30,2027-01-22,paola_damico
274,Relazioni Internazionali- Livello Avanzato,2026-01-12,2026-09-24,paola_damico
275,Storia dell'Asia- Livello Avanzato,2027-05-11,2027-09-12,paola_damico
276,Cultura Africana- Livello Avanzato,2026-12-31,2027-01-29,olga_cattaneo
277,Musica Jazz- Livello Avanzato,2026-05-04,2026-10-31,olga_cattaneo
278,Opera Lirica Italiana- Livello Avanzato,2026-01-20,2026-12-19,giada_ferretti
279,Storia del Rock- Livello Avanzato,2026-04-02,2026-08-07,andrea_milani
280,Pittura Impressionista- Livello Avanzato,2026-04-30,2027-03-27,andrea_milani
281,Scultura Classica- Livello Avanzato,2025-12-31,2026-12-25,andrea_milani
282,Architettura Moderna- Livello Avanzato,2026-10-27,2026-11-29,katia_mele
283,Design Industriale- Livello Avanzato,2026-03-18,2026-09-25,katia_mele
284,Fotografia- Livello Avanzato,2024-10-05,2025-02-07,ilaria_bassi
285,Storia del Cinema- Livello Avanzato,2024-07-13,2024-11-11,martina_moro
286,Letteratura Latino-Americana- Livello Avanzato,2024-06-29,2024-09-26,giulia_damico
287,Poesia del '900- Livello Avanzato,2026-05-24,2027-02-24,ilaria_bruni
288,Il Romanzo Moderno- Livello Avanzato,2026-01-23,2026-11-16,ilaria_bruni
289,Narrativa Contemporanea- Livello Avanzato,2025-12-29,2027-03-15,ilaria_bruni
290,Graphic Novel- Livello Avanzato,2025-12-21,2026-11-22,elisa_lodi
291,Fumetto Italiano- Livello Avanzato,2026-05-12,2027-05-09,elisa_lodi
292,Videogame e Cultura Pop- Livello Avanzato,2025-12-13,2027-02-20,elisa_lodi
293,Gastronomia Internazionale- Livello Avanzato,2026-06-06,2027-02-14,miriam_santoro
294,Storia del Vino- Livello Avanzato,2027-04-17,2027-10-07,miriam_santoro
295,Enologia Italiana- Livello Avanzato,2025-08-22,2027-02-27,miriam_santoro
296,Barista e Caffetteria- Livello Avanzato,2026-01-03,2026-08-11,alberto_pisano
297,Sommelier Base- Livello Avanzato,2026-03-31,2026-07-19,alberto_pisano
298,Sport Invernali- Livello Avanzato,2025-10-03,2027-05-07,alessia_deluca
299,Sport Nautici- Livello Avanzato,2025-12-19,2026-11-20,alessia_deluca
300,Atletica Leggera- Livello Avanzato,2026-01-05,2027-06-11,lorenzo_milani
301,Storia del Calcio- Livello Avanzato,2025-08-08,2027-05-26,lorenzo_milani
302,Regole del Basketball- Livello Avanzato,2026-01-10,2026-08-16,lorenzo_milani
303,Tennis e Grand Slam- Livello Avanzato,2025-12-12,2026-11-21,lorenzo_milani
304,Formula 1 e Motorsport- Livello Avanzato,2027-05-03,2027-06-17,andrea_caputo
305,Moto GP- Livello Avanzato,2025-09-02,2027-06-03,andrea_caputo
306,Ciclismo e Tour de France- Livello Avanzato,2025-12-30,2026-12-04,anna_martinelli
307,Scacchi- Livello Avanzato,2027-06-21,2027-12-14,anna_martinelli
308,Bridge e Giochi di Carte- Livello Avanzato,2025-08-27,2027-06-26,anna_martinelli
309,Poker Teorico- Livello Avanzato,2026-12-04,2027-05-03,anna_martinelli
310,Danza Classica- Livello Avanzato,2026-01-10,2026-09-02,anna_martinelli
311,Teatro e Drammaturgia- Livello Avanzato,2024-03-07,2024-07-26,anna_quaranta
312,Circo e Arti Performative- Livello Avanzato,2026-06-18,2026-12-31,chiara_salvi
313,Storia dell'Antica Grecia- Parte I,2026-03-10,2026-12-20,chiara_salvi
314,Chimica Organica Base- Parte I,2027-03-04,2027-04-29,chiara_salvi
315,Fisica Newtoniana- Parte I,2026-04-18,2026-09-16,chiara_salvi
316,Letteratura del '900- Parte I,2026-05-07,2027-03-15,irene_sorrentino
317,Matematica Finanziaria- Parte I,2024-12-19,2025-01-04,irene_sorrentino
318,Biologia Cellulare- Parte I,2024-08-24,2024-10-03,irene_sorrentino
319,Geografia Europea- Parte I,2025-07-08,2027-05-14,federica_carbone2
320,Astronomia e Cosmologia- Parte I,2026-09-21,2027-01-18,riccardo_sanna
321,Lingue Neolatine- Parte I,2025-12-23,2027-06-10,riccardo_sanna
322,Arte Medievale- Parte I,2025-01-18,2025-03-25,chiara_silvestri
323,Cinema d'Autore- Parte I,2027-02-24,2027-04-21,andrea_fazio
324,Cucina Regionale Italiana- Parte I,2025-09-08,2027-02-09,andrea_cattaneo
325,Informatica di Base- Parte I,2026-02-03,2027-01-10,andrea_cattaneo
326,Diritto Costituzionale- Parte I,2026-03-17,2027-05-04,alessio_palermo
327,Economia Aziendale- Parte I,2026-02-19,2026-07-25,alessio_palermo
328,Storia della Musica- Parte I,2026-08-31,2026-11-18,noemi_moro
329,Filosofia Greca- Parte I,2026-04-06,2026-11-15,matteo_biffi
330,Anatomia Umana- Parte I,2025-10-08,2026-09-12,matteo_biffi
331,Ecologia e Ambiente- Parte I,2027-02-14,2027-05-21,giada_perna
332,Sport e Olimpiadi- Parte I,2027-01-27,2027-02-16,giada_perna
333,Psicologia Cognitiva- Parte I,2025-12-18,2026-10-27,claudia_poli
334,Sociologia Urbana- Parte I,2026-01-15,2026-08-18,silvia_rosati
335,Storia del Rinascimento- Parte I,2027-05-27,2027-08-27,silvia_rosati
336,Letteratura Inglese- Parte I,2026-01-22,2026-02-07,maria_longo
337,Matematica Discreta- Parte I,2025-10-29,2027-06-20,maria_longo
338,Reti di Computer- Parte I,2025-08-16,2026-07-01,cinzia_vitale
339,Algoritmi e Strutture Dati- Parte I,2026-07-08,2026-09-18,cinzia_vitale
340,Marketing Digitale- Parte I,2026-04-12,2027-04-05,cinzia_vitale
341,Gestione Aziendale- Parte I,2026-01-31,2026-10-28,francesca_quaranta
342,Storia dell'Arte Moderna- Parte I,2026-06-03,2026-10-29,francesca_quaranta
343,Fisica Quantistica- Parte I,2025-08-13,2027-02-18,francesca_quaranta
344,Chimica Inorganica- Parte I,2025-10-15,2027-04-30,francesca_quaranta
345,Biologia Marina- Parte I,2025-08-08,2027-03-19,lorenzo_fazio
346,Geologia e Vulcani- Parte I,2026-06-27,2027-05-09,claudia_conte
347,Meteorologia- Parte I,2025-07-20,2026-08-11,federica_monti
348,Linguistica Italiana- Parte I,2025-12-25,2026-08-02,monica_fazio
349,Numeri e Crittografia- Parte I,2027-04-03,2027-08-17,monica_fazio
350,Mitologia Greca e Romana- Parte I,2024-08-29,2025-01-24,monica_fazio
351,Storia Medievale- Parte I,2025-10-30,2026-07-21,monica_fazio
352,Cultura Asiatica- Parte I,2025-05-02,2025-07-09,cinzia_ferretti
353,Letteratura Russa- Parte I,2024-08-20,2024-09-22,cinzia_ferretti
354,Economia Globale- Parte I,2025-06-11,2025-07-22,matteo_napoli
355,Zoologia- Parte I,2025-09-21,2026-12-19,matteo_napoli
356,Botanica- Parte I,2024-10-31,2025-03-09,lorenzo_rega
357,Farmacologia Base- Parte I,2026-01-17,2026-02-09,lorenzo_rega
358,Diritto Internazionale- Parte I,2025-02-28,2025-03-16,sofia_conte
359,Storia della Tecnologia- Parte I,2026-06-06,2026-12-07,laura_biffi
360,Robotica- Parte I,2027-03-19,2027-07-05,laura_biffi
361,Intelligenza Artificiale- Parte I,2027-04-03,2027-08-09,silvia_rosati2
